song_name,artist,album,genre
Old Town Road,Lil Nas X & Billy Ray Cyrus,Old Town Road,Country Rap
Drivers License,Olivia Rodrigo,SOUR,Pop
Industry Baby,Lil Nas X & Jack Harlow,Montero,Hip-Hop
good 4 u,Olivia Rodrigo,SOUR,Pop
Shivers,Ed Sheeran,=,Pop
Stay,The Kid Laroi & Justin Bieber,F*ck Love 3: Over It,Pop
Happier Than Ever,Billie Eilish,Happier Than Ever,Pop
Heat Waves,Glass Animals,Dreamland,Indie Pop
About Damn Time,Lizzo,Special,Funk Pop
Smokin' Out the Window,Silk Sonic (Bruno Mars & Anderson .Paak),An Evening with Silk Sonic,R&B
Kiss Me More (feat. SZA),Doja Cat,Planet Her,Pop
Beggin',Måneskin,Teatro d'Ira - Vol. I,Rock
Leave the Door Open,Silk Sonic,An Evening with Silk Sonic,R&B
Way 2 Sexy,Drake,Certified Lover Boy,Hip-Hop
Enemy ,Imagine Dragons & JID,Arcane League of Legends,Alternative Rock
Bam Bam,Camila Cabello & Ed Sheeran,Familia,Latin Pop
Cold Heart ,Dua Lipa & Elton John,Future Nostalgia ,Dance
Bad Habits,Ed Sheeran,=,Pop
Montero ,Lil Nas X,Montero,Pop
